"食物
（每100克）","能量
（kal）","蛋白质
（克）","糖类
（克）","脂肪
（克）","水分
（克）","纤维
（克）","灰份
（克）","VA
（微克）","胡萝卜素
（微克）","视黄醇当量
（微克）","VB1
（毫克）","VB2
（毫克）","烟酸
（毫克）","VC
（毫克）","VE
（毫克）","钾
（毫克）","钠
（毫克）","钙
（毫克）","镁
（毫克）","铁
（毫克）","锰
（毫克）","锌
（毫克）","铜
（毫克）","磷
（毫克）","硒
（微克）"
面西胡瓜,10,0.8,1.8,0,97,0,0.4,0,580,97,0.01,0.02,0.1,0,0,70,0.6,14,12,0.8,0.06,0.25,0.08,3,0.1
明太鱼,88,20.4,0.5,0.5,77.4,0,1.2,14,0,14,0.04,0.13,2.7,0,0,321,130.3,42,84,0.5,0.01,0.86,0.01,232,24.8
明虾,85,13.4,3.8,1.8,79.8,0,1.2,0,0,0,0.01,0.04,4,0,1.55,238,119,75,31,0.6,0.02,3.59,0.09,189,25.48
蘑菇(干),252,21,31.7,4.6,13.7,21,8,0,1640,273,0.1,1.1,30.7,5,6.18,1225,23.3,127,94,0,1.53,6.29,1.05,357,39.18
蘑菇(酱),121,5.4,24.3,0.2,59,0.7,10.4,0,0,0,0.05,0.15,2,0,1.79,250,400,30,52,1.8,0.97,0.54,0.25,18,0.48
蘑菇(鲜),20,2.7,2,0.1,92.4,2.1,0.7,0,10,2,0.08,0.35,4,2,0.56,312,8.3,6,11,1.2,0.11,0.92,0.49,94,0.55
抹猛果,32,0.6,7,0.2,90.6,1.3,0.3,0,8050,1342,0.01,0.04,0.3,23,1.21,138,2.8,0,14,0.2,0.2,0.09,0.06,11,1.44
墨鱼,82,15.2,3.4,0.9,79.2,0,1.3,0,0,0,0.02,0.04,1.8,1.49,1.49,400,165.5,15,39,1,0.1,1.34,0.69,165,37.52
墨鱼(干),287,65.3,2.1,1.9,24.8,0,5.9,0,0,0,0.02,0.05,3.6,6.73,6.73,1261,1744,82,359,23.9,0.2,10.02,4.2,413,104.4
母乳(人乳),65,1.3,7.4,3.4,87.6,0,0.3,11,0,11,0.01,0.05,0.2,5,0,0,0,30,32,0.1,0,0.28,0.03,13,0
牡蛎,73,5.3,8.2,2.1,82,0,2.4,27,0,27,0.01,0.13,1.4,0.81,0.81,200,462.1,131,65,7.1,0.85,9.39,8.13,115,86.64
木耳,205,12.1,35.7,1.5,15.5,29.9,5.3,0,100,17,0.01,0.44,2.5,0,11.34,757,48.5,247,152,97.4,8.86,3.18,0.32,292,3.72
木耳(水发),21,1.5,3.4,0.2,91.8,2.6,0.5,0,20,3,0.06,0.05,0.2,1,7.51,52,8.5,34,57,5.5,0.97,0.53,0.04,12,0.46
木耳菜,20,1.6,2.8,0.3,92.8,1.5,1,0,2020,337,0.06,0.06,0.6,34,1.66,140,47.2,166,62,3.2,0.45,0.32,0.07,42,2.6
木榧,539,12.4,27.9,42,2.9,10.6,4.2,0,0,0,0.03,0.18,0.7,0,43.52,280,4.9,11,212,3.8,0.96,3.66,2.33,180,4.2
木瓜,27,0.4,6.2,0.1,92.2,0.8,0.3,0,870,145,0.01,0.02,0.3,43,0.3,18,28,17,9,0.2,0.05,0.25,0.03,12,1.8
苜蓿,60,3.9,8.8,1,81.8,2.1,2.4,0,2640,440,0.1,0.73,2.2,118,0,497,5.8,713,61,9.7,0.44,2.01,0,78,8.53
奶豆腐(脱脂),343,53.7,26.5,2.5,14.7,0,2.6,0,0,0,0.03,0.27,0.4,1,0,188,55.4,360,25,12.4,0.17,1.81,0.21,773,7.2
奶豆腐(鲜),305,46.2,12.5,7.8,31.9,0,1.6,0,0,0,0.01,0.69,0.7,0,0,240,90.2,597,17,3.1,0.09,2.48,0.34,657,11.6
奶疙瘩,426,55.1,17.7,15,8.9,0,3.3,0,0,0,0.05,0.24,0.8,2,0,314,79.3,730,49,18.7,0.22,5.24,2.23,689,14.68
